@param = 17,25,8
@timing = 9100,4400,600,1600,500
power = A2,6D,48,B7,
tray-open = A2,6D,88,77,
band-select = A2,6D,84,7B,
input-select = A2,6D,F0,0F,
drive-select = A2,6D,45,BA,
rec-quality-select = A2,6D,C6,39,
duplicate = A2,6D,82,7D,
bangumi-navi = A2,6D,AD,52,
play-navi = A2,6D,42,BD,
bangumi-hyou = A2,6D,B6,49,
minagara = A2,6D,C2,3D,
koma-rewind = A2,6D,79,86,
koma-forward = A2,6D,B9,46,
pause = A2,6D,E8,17,
play = A2,6D,C8,37,
rewind = A2,6D,19,E6,
forward = A2,6D,59,A6,
stop = A2,6D,68,97,
slow-rewind = A2,6D,31,CE,
slow-forward = A2,6D,11,EE,
skip-rewind = A2,6D,21,DE,
skip-forward = A2,6D,01,FE,
chapter = A2,6D,9B,64,
1 = A2,6D,80,7F,
2 = A2,6D,40,BF,
3 = A2,6D,C0,3F,
4 = A2,6D,20,DF,
5 = A2,6D,A0,5F,
6 = A2,6D,60,9F,
7 = A2,6D,E0,1F,
8 = A2,6D,10,EF,
9 = A2,6D,90,6F,
10 = A2,6D,B0,4F,
11 = A2,6D,00,FF,
12 = A2,6D,30,CF,
clear-top = A2,6D,CA,35,
zoom = A2,6D,7A,85,
info-display = A2,6D,5A,A5,
search = A2,6D,70,8F,
ch-direct-input = A2,6D,A4,5B,
omakase = A2,6D,DC,23,
timebar = A2,6D,5B,A4,
data-blue = A2,6D,94,6B,
data-red = A2,6D,54,AB,
data-green = A2,6D,D4,2B,
data-yellow = A2,6D,34,CB,
ch-up = A2,6D,78,87,
ch-down = A2,6D,F8,07,
up = A2,6D,03,FC,
down = A2,6D,13,EC,
left = A2,6D,33,CC,
left-left = A2,6D,AA,55,
right = A2,6D,23,DC,
right-right = A2,6D,DA,25,
enter = A2,6D,22,DD,
return = A2,6D,D2,2D,
mode = A2,6D,52,AD,
bangumi-setumei = A2,6D,2D,D2,
quick-menu = A2,6D,A2,5D,
startmenu = A2,6D,62,9D,
end-close = A2,6D,06,F9,
record = A2,6D,A8,57,
time-slip = A2,6D,58,A7,
help = A2,6D,46,B9,
data = A2,6D,C4,3B,
media = A2,6D,44,BB,
record-mode = A2,6D,E5,1A,
to-trash = A2,6D,74,8B,
sound-select = A2,6D,CB,34,
angle-select = A2,6D,2B,D4,
subtitle = A2,6D,AB,54,
reserve = A2,6D,7B,84,
