電源 = 0A,F5,E8,17,
画面表示 = 0A,F5,08,F7,
音声多重 = 0A,F5,10,EF,
入力切替 = 0A,F5,90,6F,
地デジ 1 = 6A,95,8E,71,
地デジ 2 = 6A,95,4E,B1,
地デジ 3 = 6A,95,CE,31,
地デジ 4 = 6A,95,2E,D1,
地デジ 5 = 6A,95,AE,51,
地デジ 6 = 6A,95,6E,91,
地デジ 7 = 6A,95,EE,11,
地デジ 8 = 6A,95,1E,E1,
地デジ 9 = 6A,95,9E,61,
地デジ 10 = 6A,95,0E,F1,
地デジ 11 = 6A,95,5E,A1,
地デジ 12 = 6A,95,DE,21,
BS 1 = 6A,95,B0,4F,
BS 2 = 6A,95,70,8F,
BS 3 = 6A,95,F0,0F,
BS 4 = 6A,95,38,C7,
BS 5 = 6A,95,B8,47,
BS 6 = 6A,95,78,87,
BS 7 = 6A,95,F8,07,
BS 8 = 6A,95,20,DF,
BS 9 = 6A,95,A0,5F,
BS 10 = 6A,95,30,CF,
BS 11 = 6A,95,60,9F,
BS 12 = 6A,95,E0,1F,
データ [d] = 6A,95,CA,35,
[青] = 6A,95,2A,D5,
[赤] = 6A,95,AA,55,
[緑] = 6A,95,6A,95,
[黄] = 6A,95,EA,15,
べんり = 0A,F5,25,DA,
スイーベル = 0A,F5,35,CA,
メニュー = 0A,F5,CA,35,
番組表 = 6A,95,82,7D,
番組検索 = 6A,95,62,9D,
2画面 = 0A,F5,1A,E5,
リターン = 0A,F5,C5,3A,
上 ▲ = 0A,F5,0E,F1,
下 ▼ = 0A,F5,8E,71,
右 ▶ = 0A,F5,4E,B1,
◀ 左 = 0A,F5,CE,31,
決定 = 0A,F5,CC,33,
チャンネル番号入力 = 6A,95,1A,E5,
ミュート = 0A,F5,D0,2F,
音量 上 ▲ = 0A,F5,48,B7,
音量 下 ▼ = 0A,F5,A8,57,
チャンネル ▲ = 0A,F5,98,67,
チャンネル ▼ = 0A,F5,18,E7,
CS 1 = 6A,95,86,79,
CS 2 = 6A,95,46,B9,
CS 3 = 6A,95,C6,39,
CS 4 = 6A,95,26,D9,
CS 5 = 6A,95,A6,59,
CS 6 = 6A,95,66,99,
CS 7 = 6A,95,E6,19,
CS 8 = 6A,95,16,E9,
CS 9 = 6A,95,96,69,
CS 10 = 6A,95,06,F9,
CS 11 = 6A,95,56,A9,
CS 12 = 6A,95,D6,29,
